threshold,true_positives,false_positives,false_negatives,precision,recall,f1
0.86,122340,14264,29660,0.895581388539135,0.8048684210526316,0.8478052972238777
0.8625,121672,13589,30328,0.8995349731260304,0.8004736842105263,0.847118126024765
0.865,121031,12953,30969,0.9033242775256747,0.7962565789473685,0.8464179814255343
0.8675,120295,12283,31705,0.9073526527779873,0.7914144736842105,0.845427264229842
0.87,119577,11592,32423,0.911625460284061,0.7866907894736842,0.8445627875932745
0.8725,118850,10954,33150,0.9156112292379279,0.7819078947368421,0.8434940597010688
0.875,118029,10267,33971,0.919974122342084,0.7765065789473684,0.8421739874989297
0.8775,117226,9688,34774,0.9236648439100493,0.7712236842105263,0.8405888553460924
0.88,116434,9095,35566,0.9275466226927642,0.7660131578947369,0.8390762767134246
0.8825,115560,8504,36440,0.9314547330410111,0.7602631578947369,0.8371971716703374
0.885,114662,7920,37338,0.9353901877926613,0.7543552631578947,0.8351749204244997
0.8875,113743,7429,38257,0.9386904565411152,0.7483092105263158,0.8327573836264333
0.89,112777,6901,39223,0.942336937448821,0.741953947368421,0.8302254875256737
0.8925,111818,6415,40182,0.9457427283414952,0.7356447368421053,0.8275673215336394
0.895,110790,5950,41210,0.9490320370053109,0.7288815789473684,0.8245144005358338
0.8975,109721,5541,42279,0.9519269143342992,0.7218486842105263,0.8210744512875007
0.9,108634,5183,43366,0.954461987225107,0.7146973684210526,0.8173593111050083
0.9025,107467,4831,44533,0.9569805339364904,0.7070197368421053,0.8132259797652649
0.905,106314,4526,45686,0.9591663659328762,0.6994342105263158,0.8089636280626998
0.9075,105073,4209,46927,0.9614849655020955,0.6912697368421052,0.8042880872008021
0.91,103761,3919,48239,0.9636051263001486,0.6826381578947368,0.7991451016635859
0.9125,102375,3640,49625,0.9656652360515021,0.6735197368421053,0.7935585140398814
0.915,100982,3363,51018,0.9677703771143802,0.6643552631578947,0.7878601103980963
0.9175,99493,3071,52507,0.9700577200577201,0.6545592105263158,0.7816737637686398
0.92,98020,2795,53980,0.9722759509993553,0.6448684210526315,0.7754286731404386
0.9225,96441,2486,55559,0.9748703589515502,0.6344802631578947,0.7686777429292185
0.925,94770,2203,57230,0.977282336320419,0.6234868421052632,0.7612873685098384
0.9275,93057,1915,58943,0.979836162237291,0.6122171052631579,0.7535834021670472
0.93,91435,1672,60565,0.9820421665395728,0.6015460526315789,0.7460823232302627
0.9325,89753,1468,62247,0.9839072143475734,0.5904802631578947,0.7380366004580196
0.935,88024,1295,63976,0.9855014050761876,0.5791052631578948,0.7295239910657678
0.9375,86135,1158,65865,0.9867343315042443,0.5666776315789473,0.7199124086371101
0.94,84127,991,67873,0.988357339223196,0.5534671052631579,0.7095791968555739
0.9425,82122,865,69878,0.9895766806849265,0.5402763157894737,0.6989493035784958
0.945,80115,761,71885,0.9905905336564618,0.5270723684210527,0.6880485752074065
0.9475,77923,676,74077,0.9913993816715225,0.5126513157894736,0.6758312048187546
0.95,75785,609,76215,0.9920281697515512,0.49858552631578945,0.6636338958116238
