threshold,true_positives,false_positives,false_negatives,precision,recall,f1
0.695,120150,5,31850,0.9999583870833507,0.7904605263157894,0.882952729143319
0.6975,120018,3,31982,0.9999750043742345,0.7895921052631579,0.8824171663217177
0.7,119888,2,32112,0.9999833180415381,0.7887368421052632,0.8818860568612307
0.7025,119756,1,32244,0.9999916497574255,0.7878684210526316,0.8813462026737121
0.705,119611,1,32389,0.9999916396348193,0.7869144736842105,0.880749009616659
0.7075,119482,1,32518,0.9999916306085385,0.7860657894736842,0.880217177502827
0.71,119343,1,32657,0.9999916208607051,0.7851513157894737,0.8796435520962321
0.7125,119182,0,32818,1.0,0.7840921052631579,0.8789816433244093
0.715,119045,0,32955,1.0,0.7831907894736843,0.8784150233356085
0.7175,118892,0,33108,1.0,0.7821842105263158,0.877781551319345
0.72,118760,0,33240,1.0,0.7813157894736842,0.8772344511744719
0.7225,118612,0,33388,1.0,0.780342105263158,0.8766204011647674
0.725,118485,0,33515,1.0,0.7795065789473684,0.8760929441558682
0.7275,118361,0,33639,1.0,0.7786907894736842,0.8755774686437762
0.73,118238,0,33762,1.0,0.7778815789473684,0.8750656828425314
0.7325,118099,0,33901,1.0,0.7769671052631579,0.874486762261245
0.735,117955,0,34045,1.0,0.7760197368421052,0.8738863884721527
0.7375,117828,0,34172,1.0,0.7751842105263158,0.8733563603480736
0.74,117692,0,34308,1.0,0.7742894736842105,0.8727882176705278
0.7425,117541,0,34459,1.0,0.773296052631579,0.8721567405329802
0.745,117405,0,34595,1.0,0.7724013157894737,0.8715873870195431
0.7475,117270,0,34730,1.0,0.7715131578947368,0.8710216511308352
0.75,117125,0,34875,1.0,0.7705592105263158,0.8704133766836971
0.7525,116987,0,35013,1.0,0.7696513157894737,0.8698338581418432
0.755,116856,0,35144,1.0,0.7687894736842106,0.8692831850507335
0.7575,116695,0,35305,1.0,0.7677302631578947,0.8686056681367349
0.76,116551,0,35449,1.0,0.7667828947368421,0.8679990020517518
0.7625,116413,0,35587,1.0,0.765875,0.867417002902244
0.765,116269,0,35731,1.0,0.7649276315789474,0.8668090610543894
0.7675,116137,0,35863,1.0,0.7640592105263158,0.8662512074051697
0.77,115995,0,36005,1.0,0.763125,0.8656504785537044
0.7725,115844,0,36156,1.0,0.7621315789473684,0.8650109765385822
0.775,115704,0,36296,1.0,0.7612105263157894,0.8644174162507845
0.7775,115563,0,36437,1.0,0.7602828947368421,0.8638189884251559
0.78,115415,0,36585,1.0,0.7593092105263158,0.8631901725782024
0.7825,115275,0,36725,1.0,0.7583881578947368,0.8625947058273313
0.785,115125,0,36875,1.0,0.7574013157894737,0.8619560131024802
0.7875,114971,0,37029,1.0,0.7563881578947368,0.8612995418978091
0.79,114843,0,37157,1.0,0.7555460526315789,0.8607533268626121
0.7925,114712,0,37288,1.0,0.7546842105263157,0.8601937670595999
0.795,114581,0,37419,1.0,0.7538223684210527,0.8596336573124116
0.7975,114438,0,37562,1.0,0.7528815789473684,0.8590216110314595
0.8,114273,0,37727,1.0,0.7517960526315789,0.8583145869089244
0.8025,114114,0,37886,1.0,0.75075,0.8576324432386121
0.805,113951,0,38049,1.0,0.7496776315789474,0.856932292038759
0.8075,113780,0,38220,1.0,0.7485526315789474,0.85619685454135
0.81,113623,0,38377,1.0,0.7475197368421053,0.8555207945095117
0.8125,113444,0,38556,1.0,0.7463421052631579,0.8547490242763068
0.815,113277,0,38723,1.0,0.7452434210526315,0.854028053694817
0.8175,113082,0,38918,1.0,0.7439605263157895,0.8531850521725353
0.82,112897,0,39103,1.0,0.7427434210526316,0.8523841342106555
0.8225,112696,0,39304,1.0,0.741421052631579,0.8515126786955602
0.825,112530,0,39470,1.0,0.740328947368421,0.8507919706649529
0.8275,112360,0,39640,1.0,0.7392105263157894,0.8500529580874564
0.83,112157,0,39843,1.0,0.737875,0.8491692440480472
0.8325,111927,0,40073,1.0,0.7363618421052631,0.8481663490283298
0.835,111707,0,40293,1.0,0.7349144736842105,0.8472054211681905
0.8375,111465,0,40535,1.0,0.7333223684210526,0.8461465469796747
0.84,111243,0,40757,1.0,0.7318618421052632,0.8451734708995111
0.8425,111007,0,40993,1.0,0.7303092105263158,0.8441372282866996
0.845,110730,0,41270,1.0,0.7284868421052632,0.8429185856202185
0.8475,110488,0,41512,1.0,0.7268947368421053,0.8418518179878699
0.85,110247,0,41753,1.0,0.7253092105263158,0.8407875018589346
0.8525,109924,0,42076,1.0,0.7231842105263158,0.8393579817046166
0.855,109592,0,42408,1.0,0.721,0.8378849506101104
0.8575,109298,0,42702,1.0,0.7190657894736842,0.8365773943926091
0.86,109007,0,42993,1.0,0.7171513157894737,0.835280279839238
0.8625,108665,0,43335,1.0,0.7149013157894737,0.8337521339650509
0.865,108327,0,43673,1.0,0.7126776315789474,0.832237916159292
0.8675,107927,0,44073,1.0,0.7100460526315789,0.8304408545476231
0.87,107532,0,44468,1.0,0.7074473684210526,0.828660820245673
0.8725,107180,0,44820,1.0,0.7051315789473684,0.8270699899683618
0.875,106723,0,45277,1.0,0.702125,0.8249981640596313
0.8775,106263,0,45737,1.0,0.6990986842105263,0.8229053329358058
0.88,105772,0,46228,1.0,0.6958684210526316,0.8206632217618671
0.8825,105243,0,46757,1.0,0.6923881578947368,0.8182380084200542
0.885,104710,0,47290,1.0,0.6888815789473685,0.8157843480970745
0.8875,104186,0,47814,1.0,0.6854342105263158,0.8133621665508654
0.89,103564,0,48436,1.0,0.6813421052631579,0.810474088682287
0.8925,102928,0,49072,1.0,0.6771578947368421,0.8075064331889787
0.895,102262,0,49738,1.0,0.6727763157894737,0.8043828806506674
0.8975,101542,0,50458,1.0,0.6680394736842106,0.8009876075758652
0.9,100820,0,51180,1.0,0.6632894736842105,0.79756348390159
0.9025,99995,0,52005,1.0,0.6578618421052631,0.7936268576757475
0.905,99220,0,52780,1.0,0.6527631578947368,0.789905262319879
0.9075,98334,0,53666,1.0,0.6469342105263158,0.7856224084622944
0.91,97374,0,54626,1.0,0.6406184210526316,0.7809474925212733
0.9125,96364,0,55636,1.0,0.6339736842105264,0.7759900790774831
0.915,95278,0,56722,1.0,0.6268289473684211,0.7706144501330486
0.9175,94121,0,57879,1.0,0.6192171052631579,0.7648351826946908
0.92,92954,0,59046,1.0,0.6115394736842106,0.7589506601239416
0.9225,91706,0,60294,1.0,0.603328947368421,0.7525953402870672
0.925,90345,0,61655,1.0,0.594375,0.7455899647197178
0.9275,88974,0,63026,1.0,0.5853552631578948,0.7384531111240217
0.93,87621,0,64379,1.0,0.576453947368421,0.7313298917874477
0.9325,86240,0,65760,1.0,0.5673684210526316,0.7239758226997987
0.935,84770,0,67230,1.0,0.5576973684210527,0.7160535540820205
0.9375,83186,0,68814,1.0,0.5472763157894737,0.7074060530813908
0.94,81451,0,70549,1.0,0.5358618421052631,0.6977995382328626
0.9425,79700,0,72300,1.0,0.5243421052631579,0.6879585671126457
0.945,77946,0,74054,1.0,0.5128026315789473,0.6779504753289902
0.9475,76004,0,75996,1.0,0.5000263157894737,0.6666900580691566
0.95,74125,0,77875,1.0,0.4876644736842105,0.6556108347153122
0.9525,72078,0,79922,1.0,0.47419736842105265,0.6433295548871376
0.955,69987,0,82013,1.0,0.4604407894736842,0.6305504376382401
0.9575,67668,0,84332,1.0,0.4451842105263158,0.6160933772784384
0.96,65273,0,86727,1.0,0.42942763157894737,0.6008385763532514
0.9625,62758,0,89242,1.0,0.41288157894736843,0.5844531984838749
0.965,60241,0,91759,1.0,0.3963223684210526,0.5676660023275427
0.9675,57436,0,94564,1.0,0.3778684210526316,0.5484825913405528
0.97,54209,0,97791,1.0,0.35663815789473685,0.5257675465183382
0.9725,50871,0,101129,1.0,0.33467763157894737,0.5015108122895829
0.975,47424,0,104576,1.0,0.312,0.47560975609756095
0.9775,43982,0,108018,1.0,0.2893552631578947,0.4488371381045198
0.98,40182,0,111818,1.0,0.26435526315789476,0.4181661133716998
0.9825,36155,0,115845,1.0,0.23786184210526315,0.3843108075788578
0.985,31794,0,120206,1.0,0.20917105263157895,0.3459742973111201
0.9875,27074,0,124926,1.0,0.1781184210526316,0.30237778795358344
0.99,21987,0,130013,1.0,0.14465131578947368,0.2527430210303068
0.9925,16694,0,135306,1.0,0.10982894736842105,0.1979204950976324
0.995,11015,0,140985,1.0,0.07246710526315789,0.13514093795049537
0.9975,4906,0,147094,1.0,0.03227631578947369,0.06253425617885869
1.0,785,0,151215,1.0,0.005164473684210526,0.010275877867591715
